Week,Par,Date,Course
0,36,4/25/2011,Silver Front
1,36,5/2/2011,Silver Front
2,37,5/9/2011,Silver Back
3,36,5/16/2011,Gold Front
4,36,5/23/2011,Gold Back
5,36,6/6/2011,Silver Front
6,37,6/13/2011,Silver Back
7,36,6/20/2011,Gold Front
8,36,6/27/2011,Gold Back
9,36,7/11/2011,Silver Front
10,37,7/18/2011,Silver Back
11,36,7/25/2011,Gold Front
12,36,8/1/2011,Gold Back
13,36,8/8/2011,Silver Front
14,37,8/15/2011,Silver Back
15,36,8/22/2011,Gold Front
16,36,8/29/2011,Gold Back
17,36,9/12/2011,Silver Front
