Week,Par,Date,Course
0,36,4/23/2013,Silver Front
1,36,4/29/2013,Silver Front
2,37,5/6/2013,Silver Back
3,36,5/13/2013,Gold Front
4,36,5/20/2013,Gold Back
5,36,6/3/2013,Silver Front
6,37,6/10/2013,Silver Back
7,36,6/17/2013,Gold Front
8,36,6/24/2013,Gold Back
9,37,7/8/2013,Silver Back
10,36,7/15/2013,Gold Front
11,36,7/22/2013,Gold Back
12,36,7/29/2013,Silver Front
13,37,8/5/2013,Silver Back
14,36,8/12/2013,Gold Front
15,36,8/19/2013,Gold Back
16,36,8/26/2013,Silver Front
17,37,9/9/2013,Silver Back
