Week,Par,Date,Course
0,36,4/28/2014,Silver Front
1,36,5/5/2014,Silver Front
2,37,5/12/2014,Silver Back
3,36,5/19/2014,Gold Front
4,36,6/2/2014,Gold Back
5,36,6/9/2014,Silver Front
6,37,6/16/2014,Silver Back
7,36,6/23/2014,Gold Front
8,36,6/30/2014,Gold Back
9,37,7/14/2014,Silver Back
10,36,7/21/2014,Gold Front
11,36,7/28/2014,Gold Back
12,36,8/4/2014,Silver Front
13,37,8/11/2014,Silver Back
14,36,8/18/2014,Gold Front
15,36,8/25/2014,Gold Back
16,36,9/8/2014,Silver Front
