MatchComplete,MatchID,Week,TeamID1,TeamID2
Y,1,1,8,2
Y,2,1,5,9
Y,3,1,10,4
Y,4,1,7,3
Y,5,1,6,1
Y,6,2,10,9
Y,7,2,6,7
Y,8,2,5,1
Y,9,2,8,3
Y,10,2,4,2
Y,11,3,4,3
Y,12,3,10,2
Y,13,3,9,1
Y,14,3,8,6
Y,15,3,5,7
Y,16,4,9,7
Y,17,4,2,3
Y,18,4,10,1
Y,19,4,4,6
Y,20,4,5,8
Y,21,5,4,5
Y,22,5,9,8
Y,23,5,2,6
Y,24,5,1,7
Y,25,5,10,3
Y,26,6,1,8
Y,27,6,10,7
Y,28,6,3,6
Y,29,6,2,5
Y,30,6,9,4
Y,31,7,10,6
Y,32,7,2,9
Y,33,7,7,8
Y,34,7,1,4
Y,35,7,3,5
Y,36,8,3,9
Y,37,8,7,4
Y,38,8,6,5
Y,39,8,1,2
Y,40,8,10,8
Y,41,9,7,2
Y,42,9,3,1
Y,43,9,8,4
Y,44,9,10,5
Y,45,9,6,9
Y,46,10,7,3
Y,47,10,6,1
Y,48,10,8,2
Y,49,10,5,9
Y,50,10,10,4
Y,51,11,5,1
Y,52,11,10,9
Y,53,11,6,7
Y,54,11,8,3
Y,55,11,4,2
N,56,12,5,7
N,57,12,8,6
N,58,12,4,3
N,59,12,9,1
N,60,12,10,2
Y,61,13,5,8
Y,62,13,4,6
Y,63,13,10,1
Y,64,13,2,3
Y,65,13,9,7
Y,66,14,2,6
Y,67,14,4,5
Y,68,14,1,7
Y,69,14,10,3
Y,70,14,9,8
Y,71,15,5,7
Y,72,15,8,6
Y,73,15,4,3
Y,74,15,9,1
Y,75,15,10,2
Y,76,16,7,5
Y,77,16,4,8
Y,78,16,2,9
Y,79,16,1,3
Y,80,16,10,6
Y,81,17,7,8
Y,82,17,4,5
Y,83,17,2,3
Y,84,17,9,10
Y,85,17,6,1
