MatchComplete,MatchID,Week,TeamID1,TeamID2
Y,3,1,7,3
Y,4,1,6,1
Y,5,1,8,2
Y,1,1,5,9
Y,2,1,10,4
Y,6,2,7,4
Y,7,2,5,1
Y,8,2,10,2
Y,9,2,8,6
Y,10,2,3,9
Y,11,3,3,1
Y,12,3,7,9
Y,13,3,4,2
Y,14,3,5,8
Y,15,3,10,6
Y,16,4,4,6
Y,17,4,9,1
Y,18,4,7,2
Y,19,4,3,8
Y,20,4,10,5
Y,21,5,3,10
Y,22,5,4,5
Y,23,5,9,8
Y,24,5,2,6
Y,25,5,7,1
Y,26,6,2,5
Y,27,6,7,6
Y,28,6,1,8
Y,29,6,9,10
Y,30,6,4,3
Y,31,7,7,8
Y,32,7,9,4
Y,33,7,6,5
Y,34,7,2,3
Y,35,7,1,10
Y,36,8,1,4
Y,37,8,6,3
Y,38,8,8,10
Y,39,8,2,9
Y,40,8,7,5
Y,41,9,6,9
Y,42,9,1,2
Y,43,9,5,3
Y,44,9,7,10
Y,45,9,8,4
Y,46,10,6,1
Y,47,10,8,2
Y,48,10,5,9
Y,49,10,10,4
Y,50,10,7,3
Y,51,11,10,2
Y,52,11,7,4
Y,53,11,8,6
Y,54,11,5,1
Y,55,11,3,9
Y,56,12,4,2
Y,57,12,5,8
Y,58,12,3,1
Y,59,12,10,6
Y,60,12,7,9
Y,61,13,10,5
Y,62,13,3,8
Y,63,13,7,2
Y,64,13,9,1
Y,65,13,4,6
Y,66,14,9,8
Y,67,14,3,10
Y,68,14,4,5
Y,69,14,7,1
Y,70,14,2,6
Y,71,15,5,9
Y,72,15,8,2
Y,73,15,7,3
Y,74,15,4,1
Y,75,15,10,6
Y,76,16,2,5
Y,77,16,8,9
Y,78,16,7,4
Y,79,16,1,6
Y,80,16,3,10
