MatchComplete,MatchID,Week,TeamID1,TeamID2
N,1,1,9,10
N,2,1,4,7
N,3,1,3,6
N,4,1,1,8
N,5,1,2,5
N,6,2,3,7
N,7,2,9,8
N,8,2,4,5
N,9,2,2,1
N,10,2,6,10
N,11,3,6,8
N,12,3,3,10
N,13,3,7,5
N,14,3,9,2
N,15,3,4,1
N,16,4,7,1
N,17,4,10,8
N,18,4,3,5
N,19,4,6,2
N,20,4,4,9
N,21,5,6,4
N,22,5,7,9
N,23,5,10,2
N,24,5,5,1
N,25,5,3,8
N,26,6,5,9
N,27,6,3,1
N,28,6,8,2
N,29,6,10,4
N,30,6,7,6
N,31,7,3,2
N,32,7,10,7
N,33,7,1,9
N,34,7,5,6
N,35,7,8,4
N,36,8,8,7
N,37,8,1,6
N,38,8,2,4
N,39,8,5,10
N,40,8,3,9
N,41,9,1,10
N,42,9,8,5
N,43,9,9,6
N,44,9,3,4
N,45,9,2,7
N,46,10,1,8
N,47,10,2,5
N,48,10,9,10
N,49,10,4,7
N,50,10,3,6
N,51,11,4,5
N,52,11,3,7
N,53,11,2,1
N,54,11,9,8
N,55,11,6,10
N,56,12,7,5
N,57,12,9,2
N,58,12,6,8
N,59,12,4,1
N,60,12,3,10
N,61,13,4,9
N,62,13,6,2
N,63,13,3,5
N,64,13,10,8
N,65,13,7,1
N,66,14,10,2
N,67,14,6,4
N,68,14,7,9
N,69,14,3,8
N,70,14,5,1
N,71,15,0,0
N,72,15,0,0
N,73,15,0,0
N,74,15,0,0
N,75,15,0,0
N,76,16,0,0
N,77,16,0,0
N,78,16,0,0
N,79,16,0,0
N,80,16,0,0
